,grade,credit,weight
0,C,16,79.14764158283438
1,C,17,76.66021543706843
2,D,20,51.45383644159912
3,A,21,66.292774386819
4,C,18,78.34028522136084
5,C,18,45.4269472218341
6,C,17,68.4103718626946
7,C,15,71.4318736332587
8,D,19,76.90915954479142
9,C,18,55.42809752184219
10,A,19,51.97011125764956
11,C,18,66.71536128623559
12,F,19,59.62622177849084
13,A,18,59.57952504109442
14,D,19,75.88382724783062
15,B,17,92.16414175515456
16,F,15,67.99666541155686
17,A,17,73.0096560216428
18,B,20,62.88004823100147
19,A,18,67.61526327617659
20,B,17,67.13601362816637
21,A,20,66.0298171948321
22,C,17,66.82336345803114
23,A,19,71.57016225587552
24,B,17,48.95502933771269
25,A,20,72.68115248980122
26,C,16,69.0613945637989
27,C,19,72.40600928234272
28,B,17,74.17719284745507
29,B,19,68.97580611714224
30,D,16,68.29081097052072
31,B,19,76.07950118018923
32,B,18,63.173489096454034
33,F,16,60.495974818794494
34,C,18,61.47074633889766
35,B,20,69.53764140654438
36,B,17,86.59338958200935
37,C,16,62.69222747159125
38,A,18,71.79641720915053
39,A,19,73.25173297080909
40,D,15,70.05803225625351
41,A,18,64.02517188948073
42,A,18,60.7465938699167
43,A,17,71.46972663162867
44,D,17,63.97632570035527
45,F,16,72.04809716926215
46,A,20,78.13354802749524
47,B,16,61.896996799235474
48,D,19,67.77725497881326
49,B,17,65.06713329766102
50,D,18,71.8533598361952
51,C,17,69.5134593794986
52,F,16,66.04014829138085
53,D,17,55.37147200909364
54,F,18,65.98243356702739
55,A,18,75.61677673814322
56,F,18,69.45396058486806
57,B,16,72.50293702975915
58,A,19,71.38683353880933
59,C,21,54.6615208343899
60,B,16,68.88633967590279
61,D,20,81.54396999327498
62,D,20,57.520031681693396
63,C,18,62.53768345290568
64,F,18,69.65629497462172
65,C,19,70.56595570786774
66,B,16,71.2697477458187
67,B,17,62.701363842937965
68,F,17,78.30591330142006
69,B,17,68.73084988643018
70,F,18,53.37776988540648
71,F,17,78.82903060896773
72,A,18,68.74555158041032
73,B,16,65.3970305578187
74,C,16,71.58834593695762
75,A,14,81.80583436544546
76,C,18,60.600761684301354
77,C,18,72.20843230199105
78,A,16,84.75696144749416
79,A,17,82.78473686340655
80,F,21,72.62726892515573
81,B,15,56.38871103644902
82,B,16,59.90731869295253
83,F,16,64.8477907763873
84,D,18,73.08443785878985
85,F,19,69.29741938825629
86,D,20,70.92195494440102
87,D,18,56.46436895589575
88,B,18,77.5812938670397
89,F,18,71.5519393533826
90,B,16,62.68305071819311
91,D,21,47.83484649418172
92,A,16,60.76738969339197
93,D,19,54.79238207246851
94,A,17,60.8793591160628
95,A,19,66.4576503813276
96,B,17,65.94967958029092
97,F,18,59.22569967924611
98,B,18,74.36358971756512
99,C,19,49.67063050080484
100,A,15,64.90229427275487
101,A,20,62.82479696924109
102,F,17,61.46464093680282
103,A,19,70.90428332804217
104,D,20,69.77694993665375
105,F,19,61.8862418536852
106,B,17,52.78036441170063
107,C,15,71.36181801656318
108,F,18,66.9610211432227
109,D,19,64.50801081186884
110,A,16,76.69773205832837
111,F,17,67.15519461134863
112,F,17,89.52605642578098
113,D,19,59.31947375716541
114,A,16,78.58937757182235
115,D,17,65.86392484189398
116,B,17,67.48445769414823
117,D,20,64.87478286653355
118,A,19,69.67949288722005
119,D,19,65.94379148725733
120,D,19,68.67092340292075
121,A,19,67.94353995602475
122,A,18,65.90596157869314
123,B,16,69.57212854734559
124,B,21,69.15088841184418
125,B,17,62.64890208744577
126,F,17,80.82139800284386
127,C,19,74.70050339953852
128,D,18,69.0082439917964
129,D,18,85.24619283114984
130,C,17,64.27012864443641
131,D,17,67.48715581262347
132,C,19,70.56363562968194
133,F,20,68.41182008476517
134,B,16,77.08583724953284
135,B,18,57.781471698543164
136,B,17,61.2217867695395
137,C,16,61.238377409447665
138,A,17,67.8851670360643
139,C,18,76.1137372487377
140,B,17,60.68346185334091
141,D,19,53.57565372641307
142,A,18,55.675233360864055
143,D,17,73.56754454231586
144,D,17,72.0748613229817
145,A,18,61.069340365046045
146,F,15,75.24644169229829
147,D,19,48.42839515340133
148,C,18,60.21198672304422
149,D,20,66.56741693961098
150,C,19,74.03502978594719
151,D,16,67.49141794802775
152,F,16,53.87218417622118
153,F,17,75.04392212834523
154,C,22,55.322281044046775
155,A,18,68.73544551393734
156,A,18,80.94401441178964
157,B,17,58.9604272093932
158,D,19,54.27716291577857
159,C,18,62.851790775991155
160,A,16,72.9718626502564
161,F,18,74.48142239164679
162,D,18,58.80701045562024
163,C,17,64.16511162775733
164,D,16,67.96202335890412
165,B,16,68.50771834524825
166,B,18,73.42723989285642
167,A,17,69.4875368777666
168,D,18,53.21729181221227
169,C,17,67.86708076396111
170,B,18,72.25680800880609
171,A,19,59.90352446223384
172,F,15,73.296333947888
173,A,20,64.66948357008235
